alert_id,sensor_node_id,social_node_id,incident_type,sensor_location,timestamp,sequence_frame,temperature_celsius,smoke_density_ppm,co2_level_ppm,humidity_percentage,crowd_density,traffic_density,visibility_score,fire_area_ratio,network_latency_ms,propagation_delay_sec,routing_path_length,node_influence_score,coverage_percentage,alert_reliability_score,social_alerts_forwarded,response_time_sec,emergency_severity,alert_priority,fire_detected,smoke_detected,sensor_confidence_score,mobile_alerts_sent,citizen_reports_received,target_label
ALERT_000744,FIRE_NODE_0395,USER_NODE_07258,electrical_fire,residential_building,2026-05-14 12:48:14.298300,7,162.38,605.6,2125.74,61.06,0.856,0.032,0.599,0.2423,344.22,50.09,8,0.344,96.58,0.752,385,399.32,moderate,high,1,1,0.895,8588,340,1
ALERT_000745,FIRE_NODE_0107,USER_NODE_07747,building_fire,forest_region,2026-05-14 12:48:17.298300,11,89.13,443.72,4273.11,54.52,0.336,0.539,0.106,0.1396,398.94,6.07,3,0.851,83.08,0.974,2578,417.61,moderate,high,1,1,0.973,11981,21,1
ALERT_000746,FIRE_NODE_0382,USER_NODE_09005,industrial_fire,commercial_complex,2026-05-14 12:48:20.298300,9,142.04,752.24,4898.67,46.74,0.04,0.727,0.865,0.5181,475.39,40.61,8,0.991,45.44,0.894,2616,173.62,critical,urgent,1,1,0.886,4945,101,2
ALERT_000747,FIRE_NODE_0185,USER_NODE_00854,warehouse_fire,warehouse_zone,2026-05-14 12:48:23.298300,4,151.33,251.87,1509.69,45.41,0.137,0.273,0.802,0.216,400.69,56.53,4,0.266,63.38,0.876,2593,454.43,moderate,high,1,1,0.961,7163,166,1
ALERT_000748,FIRE_NODE_0008,USER_NODE_02743,warehouse_fire,forest_region,2026-05-14 12:48:26.298300,19,205.21,949.84,1604.66,6.61,0.39,0.15,0.689,0.4314,54.3,50.36,2,0.286,65.93,0.894,1622,260.5,critical,urgent,1,1,0.828,12979,124,2
ALERT_000749,FIRE_NODE_0005,USER_NODE_00689,industrial_fire,parking_area,2026-05-14 12:48:29.298300,20,56.48,529.62,3965.33,64.49,0.419,0.429,0.682,0.6131,228.31,26.97,3,0.806,76.58,0.732,1522,378.5,critical,urgent,1,1,0.754,12678,45,2
ALERT_000750,FIRE_NODE_0128,USER_NODE_02584,building_fire,commercial_complex,2026-05-14 12:48:32.298300,20,134.29,672.6,4455.29,35.06,0.287,0.239,0.837,0.1153,352.18,12.04,6,0.785,68.46,0.802,2561,219.85,moderate,high,1,1,0.947,1033,30,1
ALERT_000751,FIRE_NODE_0183,USER_NODE_02522,kitchen_fire,commercial_complex,2026-05-14 12:48:35.298300,5,141.91,884.01,4546.97,63.61,0.335,0.953,0.072,0.2481,718.72,17.2,8,0.309,58.16,0.878,954,265.81,moderate,high,1,1,0.911,5239,285,1
ALERT_000752,FIRE_NODE_0404,USER_NODE_05691,warehouse_fire,parking_area,2026-05-14 12:48:38.298300,7,201.61,835.1,1499.65,65.62,0.272,0.158,0.131,0.3684,108.73,9.19,1,0.335,56.9,0.875,2824,490.96,critical,urgent,1,1,0.921,6239,183,2
ALERT_000753,FIRE_NODE_0371,USER_NODE_02208,forest_fire,residential_building,2026-05-14 12:48:41.298300,16,90.93,354.75,4849.48,5.54,0.881,0.208,0.903,0.2258,363.47,42.72,12,0.608,59.08,0.861,1793,439.77,moderate,high,1,1,0.712,9209,150,1
ALERT_000754,FIRE_NODE_0278,USER_NODE_08030,electrical_fire,industrial_area,2026-05-14 12:48:44.298300,18,46.96,593.03,1180.08,48.18,0.222,0.439,0.228,0.3588,110.52,2.36,6,0.099,97.26,0.741,1326,426.54,critical,urgent,1,1,0.72,12049,239,2
ALERT_000755,FIRE_NODE_0141,USER_NODE_09809,warehouse_fire,industrial_area,2026-05-14 12:48:47.298300,3,63.93,649.94,2645.43,66.85,0.945,0.782,0.592,0.2984,297.82,56.88,9,0.623,74.74,0.767,635,32.79,critical,urgent,1,1,0.974,7412,151,2
ALERT_000756,FIRE_NODE_0420,USER_NODE_04315,industrial_fire,shopping_mall,2026-05-14 12:48:50.298300,15,99.9,575.7,1104.42,59.4,0.037,0.836,0.176,0.5768,589.22,10.72,1,0.588,58.76,0.752,2614,516.21,critical,urgent,1,1,0.817,8339,194,2
ALERT_000757,FIRE_NODE_0376,USER_NODE_03040,urban_fire,shopping_mall,2026-05-14 12:48:53.298300,20,114.75,270.27,2285.49,61.66,0.369,0.952,0.902,0.0985,158.3,51.9,4,0.423,40.26,0.779,1314,360.59,moderate,high,1,1,0.932,11862,32,1
ALERT_000758,FIRE_NODE_0338,USER_NODE_08831,warehouse_fire,metro_station,2026-05-14 12:48:56.298300,7,68.34,203.81,4657.21,53.82,0.594,0.771,0.436,0.4942,310.01,15.4,9,0.743,65.18,0.985,2799,212.94,critical,urgent,1,1,0.967,8201,392,2
ALERT_000759,FIRE_NODE_0283,USER_NODE_02526,industrial_fire,forest_region,2026-05-14 12:48:59.298300,11,208.27,350.88,4112.17,33.15,0.918,0.456,0.72,0.3062,197.68,12.76,7,0.454,85.33,0.875,2626,414.73,critical,urgent,1,1,0.782,5326,56,2
ALERT_000760,FIRE_NODE_0050,USER_NODE_08573,kitchen_fire,commercial_complex,2026-05-14 12:49:02.298300,2,129.25,129.72,4197.14,69.34,0.413,0.021,0.203,0.4259,497.42,47.48,14,0.291,85.82,0.9,532,197.07,critical,urgent,1,1,0.858,2976,447,2
ALERT_000761,FIRE_NODE_0017,USER_NODE_03311,urban_fire,parking_area,2026-05-14 12:49:05.298300,7,70.77,586.87,4477.27,32.38,0.841,0.594,0.223,0.3798,414.67,24.52,2,0.164,65.0,0.721,131,63.77,critical,urgent,1,1,0.821,9405,328,2
ALERT_000762,FIRE_NODE_0429,USER_NODE_06367,kitchen_fire,parking_area,2026-05-14 12:49:08.298300,17,98.44,1116.61,2253.11,54.26,0.535,0.707,0.284,0.6125,433.47,50.05,10,0.397,46.01,0.895,2873,9.62,critical,urgent,1,1,0.838,9721,131,2
ALERT_000763,FIRE_NODE_0026,USER_NODE_06003,electrical_fire,commercial_complex,2026-05-14 12:49:11.298300,1,78.74,782.66,4909.45,35.19,0.819,0.513,0.496,0.6051,714.17,47.36,15,0.331,72.7,0.765,855,269.13,critical,urgent,1,1,0.84,10793,251,2
ALERT_000764,FIRE_NODE_0476,USER_NODE_01311,building_fire,residential_building,2026-05-14 12:49:14.298300,12,190.54,1083.55,2424.33,6.15,0.863,0.183,0.61,0.0211,331.62,59.17,9,0.146,65.42,0.789,1704,543.53,low,medium,0,1,0.952,13518,188,0
ALERT_000765,FIRE_NODE_0407,USER_NODE_00956,warehouse_fire,forest_region,2026-05-14 12:49:17.298300,17,86.6,170.93,3359.41,26.86,0.675,0.042,0.17,0.4477,185.65,51.6,1,0.106,52.93,0.99,289,262.68,critical,urgent,1,1,0.904,13721,155,2
ALERT_000766,FIRE_NODE_0040,USER_NODE_03538,industrial_fire,commercial_complex,2026-05-14 12:49:20.298300,4,76.97,763.05,3794.87,25.44,0.831,0.607,0.4,0.3647,469.87,10.77,12,0.433,60.61,0.816,947,457.86,critical,urgent,1,1,0.84,8760,197,2
ALERT_000767,FIRE_NODE_0098,USER_NODE_03165,industrial_fire,warehouse_zone,2026-05-14 12:49:23.298300,19,209.56,408.92,2429.1,56.15,0.551,0.552,0.098,0.2621,231.17,59.96,11,0.343,93.07,0.896,733,207.85,critical,urgent,1,1,0.858,9199,383,2
ALERT_000768,FIRE_NODE_0286,USER_NODE_06803,kitchen_fire,commercial_complex,2026-05-14 12:49:26.298300,19,192.09,1069.37,1305.73,27.07,0.342,0.052,0.588,0.5564,317.63,44.66,6,0.646,62.54,0.741,2763,427.05,critical,urgent,1,1,0.948,7565,359,2
ALERT_000769,FIRE_NODE_0341,USER_NODE_06998,urban_fire,industrial_area,2026-05-14 12:49:29.298300,6,165.02,100.02,1551.42,9.52,0.575,0.759,0.15,0.5457,453.3,41.71,9,0.973,45.02,0.961,1645,80.03,critical,urgent,1,1,0.814,8318,172,2
ALERT_000770,FIRE_NODE_0337,USER_NODE_02592,industrial_fire,parking_area,2026-05-14 12:49:32.298300,12,194.0,1095.0,2828.04,43.62,0.711,0.834,0.159,0.5275,395.4,27.59,15,0.453,70.55,0.974,1291,331.18,critical,urgent,1,1,0.976,9062,166,2
ALERT_000771,FIRE_NODE_0433,USER_NODE_06091,building_fire,metro_station,2026-05-14 12:49:35.298300,11,76.55,891.03,4173.85,49.14,0.611,0.569,0.825,0.535,115.39,51.07,10,0.443,55.22,0.952,986,262.05,critical,urgent,1,1,0.934,9276,279,2
ALERT_000772,FIRE_NODE_0110,USER_NODE_06146,warehouse_fire,forest_region,2026-05-14 12:49:38.298300,12,91.1,84.4,2780.02,11.51,0.757,0.283,0.449,0.0611,243.59,47.11,8,0.194,78.83,0.966,1833,409.5,low,medium,1,0,0.935,6555,0,0
ALERT_000773,FIRE_NODE_0372,USER_NODE_00568,forest_fire,residential_building,2026-05-14 12:49:41.298300,17,64.07,360.82,4535.97,51.48,0.643,0.667,0.423,0.0337,631.86,41.04,3,0.499,93.99,0.797,1237,180.12,low,medium,1,1,0.953,157,153,0
ALERT_000774,FIRE_NODE_0114,USER_NODE_03520,warehouse_fire,shopping_mall,2026-05-14 12:49:44.298300,1,184.47,656.78,1175.23,18.98,0.66,0.391,0.803,0.6177,648.4,23.28,13,0.799,61.09,0.748,2826,24.87,critical,urgent,1,1,0.812,13523,141,2
ALERT_000775,FIRE_NODE_0471,USER_NODE_09072,industrial_fire,industrial_area,2026-05-14 12:49:47.298300,4,203.12,347.66,1508.66,68.04,0.035,0.788,0.339,0.0292,735.89,9.24,1,0.574,56.44,0.719,1886,34.7,low,medium,0,1,0.734,5877,79,0
ALERT_000776,FIRE_NODE_0071,USER_NODE_04342,forest_fire,warehouse_zone,2026-05-14 12:49:50.298300,8,57.49,931.83,2736.49,27.29,0.424,0.93,0.87,0.4666,710.05,19.86,5,0.412,76.82,0.881,1231,291.61,critical,urgent,1,1,0.816,1555,292,2
ALERT_000777,FIRE_NODE_0205,USER_NODE_09324,electrical_fire,commercial_complex,2026-05-14 12:49:53.298300,11,217.58,999.66,2513.91,52.27,0.277,0.109,0.367,0.2649,32.9,49.07,13,0.391,74.83,0.721,1977,109.12,critical,urgent,1,1,0.958,2882,249,2
ALERT_000778,FIRE_NODE_0423,USER_NODE_09441,warehouse_fire,commercial_complex,2026-05-14 12:49:56.298300,20,151.52,1144.32,4994.5,29.17,0.306,0.86,0.949,0.4111,640.21,47.12,11,0.388,74.46,0.942,1231,414.43,critical,urgent,1,1,0.706,662,374,2
ALERT_000779,FIRE_NODE_0414,USER_NODE_09442,building_fire,commercial_complex,2026-05-14 12:49:59.298300,2,103.92,241.81,1625.08,63.86,0.047,0.228,0.329,0.4029,436.6,13.88,15,0.206,54.21,0.846,1370,166.35,critical,urgent,1,1,0.975,5750,450,2
ALERT_000780,FIRE_NODE_0419,USER_NODE_07116,building_fire,commercial_complex,2026-05-14 12:50:02.298300,8,126.18,145.85,3808.77,26.37,0.657,0.287,0.564,0.503,743.85,16.41,12,0.368,67.86,0.969,2674,541.33,critical,urgent,1,1,0.726,13967,308,2
ALERT_000781,FIRE_NODE_0476,USER_NODE_00188,kitchen_fire,metro_station,2026-05-14 12:50:05.298300,2,68.09,634.97,1069.12,27.46,0.157,0.64,0.905,0.6479,312.69,36.34,5,0.863,47.05,0.9,2148,248.26,critical,urgent,1,1,0.76,724,163,2
ALERT_000782,FIRE_NODE_0277,USER_NODE_09256,electrical_fire,shopping_mall,2026-05-14 12:50:08.298300,17,115.48,165.08,3659.79,21.43,0.318,0.13,0.828,0.3233,466.27,34.6,12,0.44,51.55,0.916,905,80.6,critical,urgent,1,1,0.73,2559,25,2
ALERT_000783,FIRE_NODE_0345,USER_NODE_06437,building_fire,commercial_complex,2026-05-14 12:50:11.298300,8,169.28,313.9,1949.8,35.89,0.455,0.711,0.611,0.4206,576.96,18.26,7,0.356,66.28,0.789,1187,591.04,critical,urgent,1,1,0.936,12933,201,2
ALERT_000784,FIRE_NODE_0076,USER_NODE_02166,forest_fire,commercial_complex,2026-05-14 12:50:14.298300,16,73.81,86.27,788.25,20.86,0.123,0.538,0.822,0.4802,188.18,24.56,10,0.532,88.61,0.943,202,546.28,critical,urgent,1,0,0.848,9030,204,2
ALERT_000785,FIRE_NODE_0135,USER_NODE_01394,building_fire,metro_station,2026-05-14 12:50:17.298300,5,166.5,205.22,3087.27,21.16,0.437,0.638,0.281,0.0387,27.98,2.31,13,0.058,46.62,0.769,553,136.63,low,medium,1,1,0.986,7929,286,0
ALERT_000786,FIRE_NODE_0102,USER_NODE_07994,building_fire,warehouse_zone,2026-05-14 12:50:20.298300,18,98.55,222.71,3000.48,60.77,0.681,0.303,0.555,0.4661,587.92,40.33,10,0.877,92.21,0.868,2148,260.76,critical,urgent,1,1,0.886,4084,124,2
ALERT_000787,FIRE_NODE_0037,USER_NODE_04363,warehouse_fire,metro_station,2026-05-14 12:50:23.298300,11,188.19,86.33,4964.79,16.89,0.476,0.873,0.253,0.3125,123.41,24.31,11,0.218,61.82,0.808,2360,595.94,critical,urgent,1,0,0.988,1517,57,2
ALERT_000788,FIRE_NODE_0344,USER_NODE_06777,building_fire,shopping_mall,2026-05-14 12:50:26.298300,12,65.09,893.09,827.68,6.96,0.114,0.966,0.897,0.1301,146.1,15.19,4,0.54,74.18,0.764,1314,455.19,moderate,high,1,1,0.79,5694,304,1
ALERT_000789,FIRE_NODE_0336,USER_NODE_00397,warehouse_fire,forest_region,2026-05-14 12:50:29.298300,6,206.37,815.53,2519.95,56.34,0.82,0.298,0.356,0.6087,148.5,3.49,6,0.481,88.07,0.924,2525,552.12,critical,urgent,1,1,0.855,13510,411,2
ALERT_000790,FIRE_NODE_0227,USER_NODE_02390,building_fire,residential_building,2026-05-14 12:50:32.298300,8,62.51,739.33,4024.94,11.07,0.181,0.022,0.584,0.5769,543.12,58.94,4,0.11,94.18,0.936,2808,191.97,critical,urgent,1,1,0.982,6174,79,2
ALERT_000791,FIRE_NODE_0388,USER_NODE_01406,urban_fire,residential_building,2026-05-14 12:50:35.298300,8,95.39,1076.02,4475.29,54.25,0.568,0.129,0.529,0.2351,637.93,45.73,10,0.915,40.89,0.935,605,563.38,moderate,high,1,1,0.929,14283,426,1
ALERT_000792,FIRE_NODE_0420,USER_NODE_04714,urban_fire,shopping_mall,2026-05-14 12:50:38.298300,4,67.78,171.03,691.72,45.87,0.633,0.987,0.408,0.2191,507.05,49.71,5,0.94,88.19,0.824,1844,382.77,moderate,high,1,1,0.948,7769,11,1
ALERT_000793,FIRE_NODE_0170,USER_NODE_03425,kitchen_fire,warehouse_zone,2026-05-14 12:50:41.298300,7,130.86,322.69,1346.78,5.01,0.721,0.12,0.269,0.1971,457.1,24.48,9,0.691,43.34,0.736,2144,302.03,moderate,high,1,1,0.798,12343,132,1
ALERT_000794,FIRE_NODE_0281,USER_NODE_07914,industrial_fire,industrial_area,2026-05-14 12:50:44.298300,1,96.77,155.07,4541.16,49.97,0.13,0.074,0.927,0.4444,345.62,42.4,7,0.769,86.8,0.839,2388,260.78,critical,urgent,1,1,0.703,14894,339,2
ALERT_000795,FIRE_NODE_0270,USER_NODE_00713,forest_fire,industrial_area,2026-05-14 12:50:47.298300,2,207.15,755.7,1493.88,64.77,0.916,0.989,0.837,0.6486,210.86,50.69,5,0.832,53.86,0.729,823,587.76,critical,urgent,1,1,0.786,12980,356,2
ALERT_000796,FIRE_NODE_0317,USER_NODE_04445,urban_fire,parking_area,2026-05-14 12:50:50.298300,1,197.41,84.62,692.51,35.28,0.246,0.693,0.559,0.055,146.85,23.89,2,0.226,87.53,0.821,1592,60.59,low,medium,1,0,0.84,10869,138,0
ALERT_000797,FIRE_NODE_0340,USER_NODE_05902,warehouse_fire,commercial_complex,2026-05-14 12:50:53.298300,1,60.9,224.41,1654.28,60.87,0.925,0.828,0.351,0.1807,448.34,43.59,5,0.994,47.89,0.714,2660,418.14,moderate,high,1,1,0.941,6382,118,1
ALERT_000798,FIRE_NODE_0195,USER_NODE_08332,kitchen_fire,commercial_complex,2026-05-14 12:50:56.298300,11,193.11,839.88,4797.67,38.22,0.915,0.968,0.812,0.2048,173.05,33.34,8,0.48,92.67,0.729,2446,158.36,moderate,high,1,1,0.918,8759,45,1
ALERT_000799,FIRE_NODE_0096,USER_NODE_03259,industrial_fire,parking_area,2026-05-14 12:50:59.298300,18,61.62,439.26,2303.48,45.47,0.167,0.862,0.453,0.5965,384.94,17.23,15,0.185,40.22,0.854,2919,68.76,critical,urgent,1,1,0.814,402,20,2
ALERT_000800,FIRE_NODE_0127,USER_NODE_08674,forest_fire,shopping_mall,2026-05-14 12:51:02.298300,16,148.12,388.77,1370.99,55.36,0.947,0.109,0.19,0.6242,49.47,58.68,7,0.054,92.42,0.789,644,563.46,critical,urgent,1,1,0.792,351,177,2
ALERT_000801,FIRE_NODE_0351,USER_NODE_05766,forest_fire,forest_region,2026-05-14 12:51:05.298300,8,159.5,169.64,1666.25,55.29,0.533,0.929,0.436,0.566,370.19,58.78,9,0.962,59.75,0.957,1130,509.33,critical,urgent,1,1,0.761,13352,31,2
ALERT_000802,FIRE_NODE_0321,USER_NODE_04222,building_fire,residential_building,2026-05-14 12:51:08.298300,18,154.25,161.4,4281.53,16.35,0.08,0.406,0.569,0.5564,779.91,26.93,5,0.107,84.95,0.864,924,271.5,critical,urgent,1,1,0.79,2535,174,2
ALERT_000803,FIRE_NODE_0460,USER_NODE_06437,kitchen_fire,industrial_area,2026-05-14 12:51:11.298300,3,132.92,459.32,3930.85,40.35,0.878,0.548,0.264,0.554,454.63,13.2,12,0.642,61.46,0.945,1566,274.71,critical,urgent,1,1,0.911,8581,491,2
ALERT_000804,FIRE_NODE_0348,USER_NODE_03727,building_fire,warehouse_zone,2026-05-14 12:51:14.298300,19,61.72,523.55,4926.26,57.55,0.168,0.285,0.347,0.4245,610.46,45.22,3,0.534,88.65,0.827,1747,78.71,critical,urgent,1,1,0.864,5168,465,2
ALERT_000805,FIRE_NODE_0310,USER_NODE_05396,building_fire,industrial_area,2026-05-14 12:51:17.298300,7,211.65,968.15,3146.28,47.04,0.931,0.434,0.348,0.6353,693.49,20.06,11,0.491,64.9,0.743,568,574.9,critical,urgent,1,1,0.817,9569,277,2
ALERT_000806,FIRE_NODE_0351,USER_NODE_03315,warehouse_fire,industrial_area,2026-05-14 12:51:20.298300,10,198.18,292.08,3010.63,6.56,0.767,0.585,0.613,0.0384,184.61,5.39,12,0.324,77.65,0.864,2889,369.23,low,medium,1,1,0.859,14773,268,0
ALERT_000807,FIRE_NODE_0466,USER_NODE_02216,building_fire,industrial_area,2026-05-14 12:51:23.298300,19,92.78,353.85,1203.06,60.19,0.62,0.195,0.209,0.5681,599.33,39.9,15,0.437,55.72,0.984,648,479.36,critical,urgent,1,1,0.788,5251,34,2
ALERT_000808,FIRE_NODE_0286,USER_NODE_08733,kitchen_fire,commercial_complex,2026-05-14 12:51:26.298300,6,193.32,930.0,1907.15,32.73,0.194,0.12,0.7,0.1775,659.65,59.74,6,0.123,68.38,0.933,597,474.43,moderate,high,1,1,0.92,11962,15,1
ALERT_000809,FIRE_NODE_0392,USER_NODE_05222,building_fire,metro_station,2026-05-14 12:51:29.298300,10,106.07,588.32,3217.86,68.31,0.334,0.924,0.292,0.643,542.81,28.35,8,0.633,56.35,0.78,2609,72.56,critical,urgent,1,1,0.733,12146,140,2
ALERT_000810,FIRE_NODE_0078,USER_NODE_03080,urban_fire,industrial_area,2026-05-14 12:51:32.298300,6,105.84,934.4,3275.07,11.67,0.854,0.605,0.915,0.4373,156.64,28.95,1,0.666,41.7,0.704,2507,81.99,critical,urgent,1,1,0.773,10158,136,2
ALERT_000811,FIRE_NODE_0311,USER_NODE_09291,industrial_fire,warehouse_zone,2026-05-14 12:51:35.298300,20,120.17,625.93,1207.32,48.77,0.6,0.302,0.062,0.0551,325.52,10.08,4,0.408,77.69,0.859,946,142.55,low,medium,1,1,0.8,11311,13,0
ALERT_000812,FIRE_NODE_0184,USER_NODE_01303,kitchen_fire,parking_area,2026-05-14 12:51:38.298300,5,152.46,1044.16,3914.14,40.97,0.369,0.371,0.841,0.0303,790.63,40.2,9,0.697,42.28,0.876,2477,293.44,low,medium,1,1,0.731,7730,364,0
ALERT_000813,FIRE_NODE_0333,USER_NODE_06127,electrical_fire,metro_station,2026-05-14 12:51:41.298300,16,93.64,1077.15,3019.95,31.87,0.082,0.717,0.683,0.4011,418.0,26.59,8,0.614,54.0,0.973,564,355.33,critical,urgent,1,1,0.79,2733,98,2
ALERT_000814,FIRE_NODE_0116,USER_NODE_00529,building_fire,residential_building,2026-05-14 12:51:44.298300,9,123.69,982.37,1311.11,24.03,0.683,0.322,0.763,0.0891,614.9,5.03,7,0.062,93.89,0.869,912,214.34,moderate,high,1,1,0.767,12212,343,1
ALERT_000815,FIRE_NODE_0104,USER_NODE_03352,urban_fire,industrial_area,2026-05-14 12:51:47.298300,15,152.96,650.08,4963.03,68.91,0.639,0.448,0.492,0.4452,99.23,20.37,14,0.122,44.4,0.757,2528,293.73,critical,urgent,1,1,0.928,8077,352,2
ALERT_000816,FIRE_NODE_0167,USER_NODE_07497,electrical_fire,metro_station,2026-05-14 12:51:50.298300,13,129.96,455.73,962.35,40.77,0.279,0.619,0.929,0.0768,185.46,28.91,13,0.97,86.31,0.96,172,203.56,low,medium,1,1,0.988,10010,376,0
ALERT_000817,FIRE_NODE_0423,USER_NODE_06233,kitchen_fire,shopping_mall,2026-05-14 12:51:53.298300,13,63.0,139.33,4364.65,65.27,0.1,0.122,0.08,0.0724,183.35,58.23,10,0.684,86.71,0.925,2343,323.37,low,medium,1,1,0.931,9778,274,0
ALERT_000818,FIRE_NODE_0269,USER_NODE_00631,industrial_fire,commercial_complex,2026-05-14 12:51:56.298300,15,149.27,432.29,3068.88,39.68,0.825,0.982,0.42,0.4974,97.82,46.83,8,0.403,42.36,0.805,174,368.33,critical,urgent,1,1,0.735,14431,125,2
ALERT_000819,FIRE_NODE_0266,USER_NODE_08813,building_fire,residential_building,2026-05-14 12:51:59.298300,18,206.71,166.99,4692.03,50.96,0.336,0.397,0.717,0.3929,543.88,23.96,7,0.513,99.39,0.762,2115,253.62,critical,urgent,1,1,0.785,12586,322,2
ALERT_000820,FIRE_NODE_0493,USER_NODE_00808,electrical_fire,forest_region,2026-05-14 12:52:02.298300,15,178.89,935.69,1886.76,10.29,0.021,0.433,0.419,0.6425,386.45,16.13,7,0.897,69.46,0.874,1248,61.92,critical,urgent,1,1,0.811,12725,423,2
ALERT_000821,FIRE_NODE_0147,USER_NODE_07559,electrical_fire,metro_station,2026-05-14 12:52:05.298300,10,210.24,740.25,2115.81,45.67,0.911,0.281,0.505,0.6234,154.47,43.46,10,0.634,80.78,0.802,224,191.76,critical,urgent,1,1,0.898,11354,264,2
ALERT_000822,FIRE_NODE_0463,USER_NODE_02331,building_fire,parking_area,2026-05-14 12:52:08.298300,3,82.72,550.01,1427.97,5.54,0.97,0.437,0.922,0.0955,478.15,12.86,12,0.801,87.02,0.733,2051,547.68,moderate,high,1,1,0.756,1904,92,1
ALERT_000823,FIRE_NODE_0399,USER_NODE_09592,kitchen_fire,industrial_area,2026-05-14 12:52:11.298300,13,152.27,1183.91,4482.54,67.18,0.349,0.115,0.22,0.3278,638.72,9.86,7,0.677,59.41,0.799,1325,398.84,critical,urgent,1,1,0.835,7437,12,2
ALERT_000824,FIRE_NODE_0092,USER_NODE_07434,industrial_fire,warehouse_zone,2026-05-14 12:52:14.298300,15,187.11,254.63,4075.77,9.18,0.202,0.66,0.819,0.168,275.21,32.69,2,0.251,88.67,0.924,1025,91.45,moderate,high,1,1,0.835,5359,354,1
ALERT_000825,FIRE_NODE_0333,USER_NODE_02687,kitchen_fire,commercial_complex,2026-05-14 12:52:17.298300,3,180.59,457.81,3385.67,8.26,0.613,0.161,0.798,0.2343,239.61,50.61,2,0.098,63.8,0.807,2893,174.46,moderate,high,1,1,0.964,7412,324,1
ALERT_000826,FIRE_NODE_0186,USER_NODE_01398,industrial_fire,metro_station,2026-05-14 12:52:20.298300,17,176.41,151.59,3744.62,39.27,0.902,0.32,0.567,0.328,401.86,27.91,10,0.245,85.34,0.831,655,575.32,critical,urgent,1,1,0.776,6254,281,2
ALERT_000827,FIRE_NODE_0195,USER_NODE_00720,warehouse_fire,industrial_area,2026-05-14 12:52:23.298300,11,164.48,1133.6,3519.22,61.63,0.829,0.367,0.59,0.1058,437.71,14.59,10,0.757,71.68,0.819,2702,164.93,moderate,high,1,1,0.99,14184,76,1
ALERT_000828,FIRE_NODE_0084,USER_NODE_02370,electrical_fire,residential_building,2026-05-14 12:52:26.298300,14,57.55,128.79,1555.93,68.12,0.979,0.658,0.842,0.143,778.19,9.42,5,0.146,46.73,0.866,1268,469.68,moderate,high,1,1,0.806,12012,393,1
ALERT_000829,FIRE_NODE_0493,USER_NODE_07312,forest_fire,industrial_area,2026-05-14 12:52:29.298300,4,216.13,566.55,1261.97,35.29,0.682,0.834,0.463,0.3879,228.53,39.11,15,0.987,42.94,0.957,539,339.56,critical,urgent,1,1,0.773,3373,1,2
ALERT_000830,FIRE_NODE_0319,USER_NODE_04147,urban_fire,parking_area,2026-05-14 12:52:32.298300,16,212.11,621.36,2059.44,16.8,0.252,0.835,0.603,0.594,200.94,8.15,14,0.056,70.47,0.99,2043,418.5,critical,urgent,1,1,0.789,8954,413,2
ALERT_000831,FIRE_NODE_0003,USER_NODE_09962,building_fire,warehouse_zone,2026-05-14 12:52:35.298300,7,198.45,955.53,667.83,58.1,0.308,0.158,0.254,0.3072,351.4,18.04,10,0.214,85.73,0.987,2702,467.79,critical,urgent,1,1,0.786,7844,232,2
ALERT_000832,FIRE_NODE_0210,USER_NODE_07240,urban_fire,residential_building,2026-05-14 12:52:38.298300,8,87.84,323.79,1201.46,40.84,0.609,0.708,0.662,0.1936,277.64,41.21,15,0.382,52.76,0.809,2242,166.89,moderate,high,1,1,0.726,4606,317,1
ALERT_000833,FIRE_NODE_0322,USER_NODE_09135,warehouse_fire,warehouse_zone,2026-05-14 12:52:41.298300,2,190.27,1035.48,1566.9,9.21,0.741,0.219,0.404,0.0464,196.49,47.78,3,0.814,52.43,0.797,608,84.87,low,medium,1,1,0.722,952,334,0
ALERT_000834,FIRE_NODE_0179,USER_NODE_00602,electrical_fire,residential_building,2026-05-14 12:52:44.298300,19,218.63,814.27,2985.22,54.76,0.842,0.809,0.065,0.1255,530.83,23.17,14,0.983,79.92,0.977,2472,124.86,moderate,high,1,1,0.951,4939,169,1
ALERT_000835,FIRE_NODE_0472,USER_NODE_01437,urban_fire,commercial_complex,2026-05-14 12:52:47.298300,14,101.24,1188.31,1293.83,38.56,0.795,0.438,0.471,0.6412,351.74,36.64,3,0.102,90.53,0.888,661,245.39,critical,urgent,1,1,0.705,11061,145,2
ALERT_000836,FIRE_NODE_0313,USER_NODE_09748,industrial_fire,industrial_area,2026-05-14 12:52:50.298300,15,148.54,94.18,605.3,45.05,0.197,0.2,0.638,0.0396,264.46,9.82,12,0.601,79.71,0.909,2372,156.86,low,medium,1,0,0.726,5951,476,0
ALERT_000837,FIRE_NODE_0019,USER_NODE_01526,warehouse_fire,forest_region,2026-05-14 12:52:53.298300,11,58.77,557.29,4761.72,19.15,0.264,0.11,0.595,0.4435,521.49,51.81,6,0.512,48.07,0.784,1553,399.15,critical,urgent,1,1,0.878,13489,34,2
ALERT_000838,FIRE_NODE_0389,USER_NODE_07002,warehouse_fire,commercial_complex,2026-05-14 12:52:56.298300,10,137.93,844.92,3404.52,62.29,0.59,0.781,0.274,0.4424,723.71,23.76,8,0.79,83.49,0.717,552,351.0,critical,urgent,1,1,0.738,2049,355,2
